Componente,Navegador,VersionNav,Error,SO,Descripcion,
iron-demo-helpers,IE,IE 11,Polymer 2.0 using bundle=true option with demo-snippet errors on IE11,NE,Polymer 2.0 using bundle=true option with demo-snippet errors on IE11,
iron-demo-helpers,Chrome,Chrome,"Setting default data to template[is=""dom-bind""]",NE,It is possible to use data binding in the demo-snippet template but there is no simple way for setting initially bound values.,
iron-demo-helpers,Firefox,Firefox,"Setting default data to template[is=""dom-bind""]",NE,It is possible to use data binding in the demo-snippet template but there is no simple way for setting initially bound values.,
iron-demo-helpers,Safari,Safari 7,"Setting default data to template[is=""dom-bind""]",NE,It is possible to use data binding in the demo-snippet template but there is no simple way for setting initially bound values.,
iron-demo-helpers,Safari,Safari 8,"Setting default data to template[is=""dom-bind""]",NE,It is possible to use data binding in the demo-snippet template but there is no simple way for setting initially bound values.,
iron-demo-helpers,Safari,Safari 9,"Setting default data to template[is=""dom-bind""]",NE,It is possible to use data binding in the demo-snippet template but there is no simple way for setting initially bound values.,
iron-demo-helpers,Edge,Edge,"Setting default data to template[is=""dom-bind""]",NE,It is possible to use data binding in the demo-snippet template but there is no simple way for setting initially bound values.,
iron-demo-helpers,IE,IE 10,"Setting default data to template[is=""dom-bind""]",NE,It is possible to use data binding in the demo-snippet template but there is no simple way for setting initially bound values.,
iron-demo-helpers,IE,IE 11,"Setting default data to template[is=""dom-bind""]",NE,It is possible to use data binding in the demo-snippet template but there is no simple way for setting initially bound values.,
iron-demo-helpers,Firefox,Firefox,Template content doesn't render in snippet on Firefox,NE,Template content doesn't render in snippet on Firefox,
iron-demo-helpers,Firefox,Firefox 46,demo-snippet rendered as `inline` when `useNativeCSSProperties` and `lazyRegister` are enabled,NE,demo-snippet rendered as `inline` when `useNativeCSSProperties` and `lazyRegister` are enabled,
iron-demo-helpers,Chrome,Chrome 53,demo-snippet rendered as `inline` when `useNativeCSSProperties` and `lazyRegister` are enabled,NE,demo-snippet rendered as `inline` when `useNativeCSSProperties` and `lazyRegister` are enabled,
iron-demo-helpers,Safari,Safari 10,demo-snippet rendered as `inline` when `useNativeCSSProperties` and `lazyRegister` are enabled,NE,demo-snippet rendered as `inline` when `useNativeCSSProperties` and `lazyRegister` are enabled,
iron-doc-viewer,Chrome,Chrome,URL's to iFrame demo's are relative from the docs.html instead of relative from the element.,NE,"Trying to create a global documentation page for our app and using the polymer analyze > analysis.json and then creating a docs.html file next to our index.html. This works as it creates a the complete documentation for our app, but the paths to the demo pages are incorrect.",
iron-doc-viewer,Firefox,Firefox,<pre> tags for inline code documentation inside <iron-doc-property> has overflow hidden when the <section> element in <iron-doc-viewer> isn't wide enough,NE,"Whenever you want to insert inline code as documentation to be generated by iron-doc-viewer, the <pre> tag that is inside the <marked-element> of the <iron-doc-property> often horizontally overflows and is hidden. It neither scrolls nor horizontally expands its parent container. In order to see what all the inline code documentation has to say, I have to edit CSS. I feel this should be default.",
iron-doc-viewer,Safari,Safari 9,<pre> tags for inline code documentation inside <iron-doc-property> has overflow hidden when the <section> element in <iron-doc-viewer> isn't wide enough,NE,"Whenever you want to insert inline code as documentation to be generated by iron-doc-viewer, the <pre> tag that is inside the <marked-element> of the <iron-doc-property> often horizontally overflows and is hidden. It neither scrolls nor horizontally expands its parent container. In order to see what all the inline code documentation has to say, I have to edit CSS. I feel this should be default.",
iron-doc-viewer,Chrome,Chrome,<pre> tags for inline code documentation inside <iron-doc-property> has overflow hidden when the <section> element in <iron-doc-viewer> isn't wide enough,NE,"Whenever you want to insert inline code as documentation to be generated by iron-doc-viewer, the <pre> tag that is inside the <marked-element> of the <iron-doc-property> often horizontally overflows and is hidden. It neither scrolls nor horizontally expands its parent container. In order to see what all the inline code documentation has to say, I have to edit CSS. I feel this should be default.",
iron-dropdown,Firefox,Firefox,2.1.0 breaks existing scrolling listeners on firefox,NE,main listener do not receive events any more,
iron-dropdown,Chrome,Chrome,It's hard to inherit a parent width due to `fixed` positioning,NE,It's hard to inherit a parent width due to `fixed` positioning,
iron-dropdown,Chrome,Chrome,Bug on mobile view,NE,The iron-dropdown is closed when the slotted content (dropdown-content) is clicked only on mobile view.,
iron-dropdown,Firefox,Firefox,Add overflowX/overflowY check in _getScrollableNodes in iron-dropdown-scroll-listener,NE,If i add an element with only overflowX = auto or overflowY = auto the _getScrollableNodes only checks for overflow = auto on the elements not the individual overflow ones.,
iron-dropdown,Safari,Safari 7,Add overflowX/overflowY check in _getScrollableNodes in iron-dropdown-scroll-listener,NE,If i add an element with only overflowX = auto or overflowY = auto the _getScrollableNodes only checks for overflow = auto on the elements not the individual overflow ones.,
iron-dropdown,Safari,Safari 8,Add overflowX/overflowY check in _getScrollableNodes in iron-dropdown-scroll-listener,NE,If i add an element with only overflowX = auto or overflowY = auto the _getScrollableNodes only checks for overflow = auto on the elements not the individual overflow ones.,
iron-dropdown,Safari,Safari 9,Add overflowX/overflowY check in _getScrollableNodes in iron-dropdown-scroll-listener,NE,If i add an element with only overflowX = auto or overflowY = auto the _getScrollableNodes only checks for overflow = auto on the elements not the individual overflow ones.,
iron-dropdown,Edge,Edge,Add overflowX/overflowY check in _getScrollableNodes in iron-dropdown-scroll-listener,NE,If i add an element with only overflowX = auto or overflowY = auto the _getScrollableNodes only checks for overflow = auto on the elements not the individual overflow ones.,
iron-dropdown,IE,IE 10,Add overflowX/overflowY check in _getScrollableNodes in iron-dropdown-scroll-listener,NE,If i add an element with only overflowX = auto or overflowY = auto the _getScrollableNodes only checks for overflow = auto on the elements not the individual overflow ones.,
iron-dropdown,IE,IE 11,Add overflowX/overflowY check in _getScrollableNodes in iron-dropdown-scroll-listener,NE,If i add an element with only overflowX = auto or overflowY = auto the _getScrollableNodes only checks for overflow = auto on the elements not the individual overflow ones.,
iron-dropdown,IE,IE 11,Scrolling behavior is shaking when is open in IE11,NE,The iron-dropdown causes a shaking when you have open de dialog and you try doing scroll in IE11.,
iron-dropdown,Chrome,Chrome,IronDropdownScrollManager does not unregister scroll interaction listeners,NE,IronDropdownScrollManager does not unregister scroll interaction listeners,
iron-dropdown,Chrome,Chrome,why allway set body to overflow: hidden,,NE,the scroll always hidden and show when the menu open and close. because the iron-dropdown-scroll-manager.html set the body to overflow: hidden
iron-dropdown,Chrome,Chrome,the component should use position:absolute,,NE,some situation it will keep the position at the center of the screen when the scroll bar at the middle and it is open at the top
iron-dropdown,Chrome,Chrome,Error when opening paper-menu in version 1.5.6,NE,The iron-dropdown component version 1.5.6 causes errors in the dev console when used together with paper-menu. This error results in that the whole app does not become scrollable anymore.,
iron-dropdown,Safari,Safari 7,Error when opening paper-menu in version 1.5.7,NE,The iron-dropdown component version 1.5.6 causes errors in the dev console when used together with paper-menu. This error results in that the whole app does not become scrollable anymore.,
iron-dropdown,Safari,Safari 8,Error when opening paper-menu in version 1.5.8,NE,The iron-dropdown component version 1.5.6 causes errors in the dev console when used together with paper-menu. This error results in that the whole app does not become scrollable anymore.,
iron-dropdown,Safari,Safari 9,Error when opening paper-menu in version 1.5.9,NE,The iron-dropdown component version 1.5.6 causes errors in the dev console when used together with paper-menu. This error results in that the whole app does not become scrollable anymore.,
iron-dropdown,Edge,Edge,Error when opening paper-menu in version 1.5.10,NE,The iron-dropdown component version 1.5.6 causes errors in the dev console when used together with paper-menu. This error results in that the whole app does not become scrollable anymore.,
iron-dropdown,IE,IE 11,Error when opening paper-menu in version 1.5.11,NE,The iron-dropdown component version 1.5.6 causes errors in the dev console when used together with paper-menu. This error results in that the whole app does not become scrollable anymore.,
iron-dropdown,IE,IE 10,Error when opening paper-menu in version 1.5.12,NE,The iron-dropdown component version 1.5.6 causes errors in the dev console when used together with paper-menu. This error results in that the whole app does not become scrollable anymore.,
iron-dropdown,Chrome,Chrome,"Open/close animations conflict when the configuration is defined directly, rather than via an anonymous function",NE,"Open/close animations conflict when the configuration is defined directly, rather than via an anonymous function",
iron-dropdown,Safari,Safari,"Open/close animations conflict when the configuration is defined directly, rather than via an anonymous function",NE,"Open/close animations conflict when the configuration is defined directly, rather than via an anonymous function",
iron-dropdown,IE,IE,"Open/close animations conflict when the configuration is defined directly, rather than via an anonymous function",NE,"Open/close animations conflict when the configuration is defined directly, rather than via an anonymous function",
iron-dropdown,Opera,Opera,"Open/close animations conflict when the configuration is defined directly, rather than via an anonymous function",NE,"Open/close animations conflict when the configuration is defined directly, rather than via an anonymous function",
iron-dropdown,Firefox,Firefox,"Open/close animations conflict when the configuration is defined directly, rather than via an anonymous function",NE,"Open/close animations conflict when the configuration is defined directly, rather than via an anonymous function",
iron-dropdown,Firefox,Firefox,Scroll delay in Firefox when scroll direction is immediately changed,NE,The iron-dropdown element while scrolling in Firefox has a delay when the scroll direction is immediately changed in the bottom (or in the top) of the element. The same is true when you use Polymer.IronDropdownScrollManager for other elements.,
iron-fit-behavior,Chrome,Chrome,Sizing does not account for scrollbars,NE,When iron-fit-behavior determines maxWidth and maxHeight it does not accommodate scrollbar sizing on overflowing content.,
iron-fit-behavior,Firefox,Firefox,Sizing does not account for scrollbars,NE,When iron-fit-behavior determines maxWidth and maxHeight it does not accommodate scrollbar sizing on overflowing content.,
iron-fit-behavior,Safari,Safari 11,Sizing does not account for scrollbars,NE,When iron-fit-behavior determines maxWidth and maxHeight it does not accommodate scrollbar sizing on overflowing content.,
iron-fit-behavior,Chrome,Chrome,iron-fit-behavior conflicts with app-header-layout,NE,iron-fit-behavior assumes that the dropdown will be displayed on top of everything since it sets z-index: 103.,
iron-fit-behavior,Firefox,Firefox,iron-fit-behavior conflicts with app-header-layout,NE,iron-fit-behavior assumes that the dropdown will be displayed on top of everything since it sets z-index: 103.,
iron-fit-behavior,Safari,Safari 11,Safari 11 doesn't fit paper-dialog,IOS 11,"On iOS 11 a <paper-dialog> that normally would be centered automatically doesn't get centered and doesn't get position: fixed, the latter causing it to be invisible...",
iron-fit-behavior,Safari,Safari,Text rendering accuracy in Safari when using iron-list inside iron-dropdown,NE,"In Safari when scrolling a long iron-list placed inside an iron-dropdown, the items text is sometimes rendered 1 device pixel line outside the dropdown.",
iron-flex-layout,Chrome,Chrome,"insert hidden globally - breaks UI, hidden style is not applied even on modern browsers",NE,"insert hidden globally - breaks UI, hidden style is not applied even on modern browsers",
iron-flex-layout,Firefox,Firefox,"insert hidden globally - breaks UI, hidden style is not applied even on modern browsers",NE,"insert hidden globally - breaks UI, hidden style is not applied even on modern browsers",
iron-flex-layout,IE,IE 10,Deprecate old flexbox syntax used by IE 10 to make Lighthouse happy,NE,Deprecate old flexbox syntax used by IE 10 to make Lighthouse happy,
iron-flex-layout,Chrome,Chrome,Test bug: --layout-vertical,NE,Wrong initial state of container.,
iron-icon,Chrome,Chrome,default value setting of _meta property causes 'this._meta.byKey' undefined error,NE,The value of the _meta property gets a default value by creating an iron-meta element. Creation of this iron-meta element might occur even before the iron-meta element has been defined in the customElementRegistry.,
iron-icon,Firefox,Firefox,default value setting of _meta property causes 'this._meta.byKey' undefined error,NE,The value of the _meta property gets a default value by creating an iron-meta element. Creation of this iron-meta element might occur even before the iron-meta element has been defined in the customElementRegistry.,
iron-icon,Safari,Safari 9,default value setting of _meta property causes 'this._meta.byKey' undefined error,NE,The value of the _meta property gets a default value by creating an iron-meta element. Creation of this iron-meta element might occur even before the iron-meta element has been defined in the customElementRegistry.,
iron-icon,IE,IE 11,default value setting of _meta property causes 'this._meta.byKey' undefined error,NE,The value of the _meta property gets a default value by creating an iron-meta element. Creation of this iron-meta element might occur even before the iron-meta element has been defined in the customElementRegistry.,
iron-icon,Edge,Edge,default value setting of _meta property causes 'this._meta.byKey' undefined error,NE,The value of the _meta property gets a default value by creating an iron-meta element. Creation of this iron-meta element might occur even before the iron-meta element has been defined in the customElementRegistry.,
iron-icon,Chrome,Chrome,Perf regression in 2.x,NE,"Due to changes in 2.x around how undefined properties are handled in multi-prop observers, a simple usage of iron-icon can result in the SVG being cloned 5 times, rather than once, which shows up as a serious performance regression. The element should be updated to take into account the new undefined rules in observers.",
iron-icon,Firefox,Firefox,Perf regression in 2.x,NE,"Due to changes in 2.x around how undefined properties are handled in multi-prop observers, a simple usage of iron-icon can result in the SVG being cloned 5 times, rather than once, which shows up as a serious performance regression. The element should be updated to take into account the new undefined rules in observers.",
iron-icon,Safari,Safari 9,Perf regression in 2.x,NE,"Due to changes in 2.x around how undefined properties are handled in multi-prop observers, a simple usage of iron-icon can result in the SVG being cloned 5 times, rather than once, which shows up as a serious performance regression. The element should be updated to take into account the new undefined rules in observers.",
iron-icon,IE,IE 11,Perf regression in 2.x,NE,"Due to changes in 2.x around how undefined properties are handled in multi-prop observers, a simple usage of iron-icon can result in the SVG being cloned 5 times, rather than once, which shows up as a serious performance regression. The element should be updated to take into account the new undefined rules in observers.",
iron-icon,Edge,Edge,Perf regression in 2.x,NE,"Due to changes in 2.x around how undefined properties are handled in multi-prop observers, a simple usage of iron-icon can result in the SVG being cloned 5 times, rather than once, which shows up as a serious performance regression. The element should be updated to take into account the new undefined rules in observers.",
iron-icon,Edge,Edge,Error in Edge ( 14 ) on WIN10 when you use iron-icon while using polymer-webpack-loader,NE,I reported this bug first at polymer-webpack-loader under webpack-contrib/polymer-webpack-loader#58 but I found out this more iron-icon problem then a polymer-webpack-loader problem or at least it can be fixed easly in iron-icon,
iron-icon,Chrome,Chrome,iron-icon hidden attribute does not work inside shadow root,NE,When using iron-icon inside a shadow root the global [hidden] { display: none, } CSS rule gets blocked and iron-icon stays visible.
iron-icon,Chrome,Chrome,Round image inside iron-image,NE,Round image inside iron-image,
iron-icon,Firefox,Firefox,Round image inside iron-image,NE,Round image inside iron-image,
iron-icon,Safari,Safari 7,Round image inside iron-image,NE,Round image inside iron-image,
iron-icon,Safari,Safari 8,Round image inside iron-image,NE,Round image inside iron-image,
iron-icon,Safari,Safari 9,Round image inside iron-image,NE,Round image inside iron-image,
iron-icon,Edge,Edge,Round image inside iron-image,NE,Round image inside iron-image,
iron-icon,IE,IE 11,Round image inside iron-image,NE,Round image inside iron-image,
iron-icon,IE,IE 10,Round image inside iron-image,NE,Round image inside iron-image,
iron-icon,Chrome,Chrome,iron-icon.html causes unexpected Polymer.Base.create is not a function,NE,The iron-icon element causes the own web-component does not load properly.,
iron-icon,Chrome,Chrome,iron-icon `icon` takes precedence over `src` contrary to docs,NE,"The docs state that iron-icon.src takes precendence over iron-icon.icon, but a test shows that the opposite is true.",
iron-icons,Chrome,Chrome,Links in the Readme lead to a 404,Mac OS,Links in the Readme lead to a 404,
iron-iconset-svg,Chrome,Chrome,Large post-registration imports can lead to incomplete icon maps,NE,"When importing a large HTML bundle, Chrome can parse it in pieces. If an iron-iconset-svg definition is broken across multiple pieces, then only the icons in the first piece (the one with the opening tag) are available in the icon map. Other icons will be blank.",
iron-iconset-svg,Edge,Edge,IE11 iron-iconset-svg defined svg element doesn't link to the class styles.,NE,IE11 iron-iconset-svg defined svg element doesn't link to the class styles.,
iron-iconset-svg,IE,IE 11,IE11 iron-iconset-svg defined svg element doesn't link to the class styles.,NE,IE11 iron-iconset-svg defined svg element doesn't link to the class styles.,
iron-iconset-svg,Edge,Edge,Icon cannot be removed from a Polymer element with removeIcon,NE,"When clearing the icon from an iron-icon element, the local dom isn't cleared properly on browsers not supporting shadow DOM natively",
iron-iconset-svg,IE,IE 11,Icon cannot be removed from a Polymer element with removeIcon,NE,"When clearing the icon from an iron-icon element, the local dom isn't cleared properly on browsers not supporting shadow DOM natively",
iron-iconset-svg,Safari,Safari,Icon cannot be removed from a Polymer element with removeIcon,NE,"When clearing the icon from an iron-icon element, the local dom isn't cleared properly on browsers not supporting shadow DOM natively",
iron-image,Chrome,Chrome,Loaded never changes when url encoded img.src differs from provided src ,NE,"When the src provided contains white spaces or special chars, the image.$.img.src and src differs. This causes the _imgOnLoad and _imgOnError validation to return and not propagate the loaded, loading and error properties.",
iron-image,Firefox,Firefox,Loaded never changes when url encoded img.src differs from provided src ,NE,"When the src provided contains white spaces or special chars, the image.$.img.src and src differs. This causes the _imgOnLoad and _imgOnError validation to return and not propagate the loaded, loading and error properties.",
iron-image,Safari,Safari 10,Loaded never changes when url encoded img.src differs from provided src ,NE,"When the src provided contains white spaces or special chars, the image.$.img.src and src differs. This causes the _imgOnLoad and _imgOnError validation to return and not propagate the loaded, loading and error properties.",
iron-image,Safari,Safari 10,"iron-image does not respect EXIF orientations with sizing=""contain""",iOS,"When running on iOS Safari, capturing an image with HTML5 picker always saves the image in landscape orientation, with an EXIF orientation tag labeling it as actually portrait if necessary. Putting this into an with sizing=""contain"" displays the image sideways because it does not respect the EXIF orientation.",
iron-image,Chrome,Chrome,preventLoad fails with data path,NE,preventLoad is not effective when data path is false.,
iron-image,Chrome,Chrome,The original image is visible underneath the placeholder while loading ,NE,"When preload is set, but there is no placeholder specified, or it resolves to a transparent / translucent image, the original image underneath is seen being loaded. If the image is progressive, it results in an image being progressively loaded (line by line) under the placeholder, which (for me) defeats the purpose of the placeholder.",
iron-image,Chrome,Chrome,sizing attribute broken when using custom property apis,NE,The attribute sizing will be broken if --iron-image-width and --iron-image-height are used instead of width and height html attributes.,
iron-image,Chrome,Chrome,Request: Add mixin for #sizedImgDiv,NE,Box shadow insets is not rendering because they need to be applied to #sizedImgDiv,
iron-image,Firefox,Firefox,Request: Add mixin for #sizedImgDiv,NE,Box shadow insets is not rendering because they need to be applied to #sizedImgDiv,
iron-image,Safari,Safari 7,Request: Add mixin for #sizedImgDiv,NE,Box shadow insets is not rendering because they need to be applied to #sizedImgDiv,
iron-image,Safari,Safari 8,Request: Add mixin for #sizedImgDiv,NE,Box shadow insets is not rendering because they need to be applied to #sizedImgDiv,
iron-image,Safari,Safari 9,Request: Add mixin for #sizedImgDiv,NE,Box shadow insets is not rendering because they need to be applied to #sizedImgDiv,
iron-image,Edge,Edge,Request: Add mixin for #sizedImgDiv,NE,Box shadow insets is not rendering because they need to be applied to #sizedImgDiv,
iron-image,IE,IE 10,Request: Add mixin for #sizedImgDiv,NE,Box shadow insets is not rendering because they need to be applied to #sizedImgDiv,
iron-image,IE,IE 11,Request: Add mixin for #sizedImgDiv,NE,Box shadow insets is not rendering because they need to be applied to #sizedImgDiv,
iron-image,Chrome,Chrome,Don't break WebP Polyfill,NE,"WebP is a great image format but only Chrome natively supports it. A Javascript polyfill exists but (I believe) due to iron-image not populating the img element's src tag, the polyfill doesn't work.",
iron-image,Firefox,Firefox,Don't break WebP Polyfill,NE,"WebP is a great image format but only Chrome natively supports it. A Javascript polyfill exists but (I believe) due to iron-image not populating the img element's src tag, the polyfill doesn't work.",
iron-image,Safari,Safari 7,Don't break WebP Polyfill,NE,"WebP is a great image format but only Chrome natively supports it. A Javascript polyfill exists but (I believe) due to iron-image not populating the img element's src tag, the polyfill doesn't work.",
iron-image,Safari,Safari 8,Don't break WebP Polyfill,NE,"WebP is a great image format but only Chrome natively supports it. A Javascript polyfill exists but (I believe) due to iron-image not populating the img element's src tag, the polyfill doesn't work.",
